label,uri
Radio and television towers,http://id.worldcat.org/fast/1087188
Railroads,http://id.worldcat.org/fast/1088711
Recreation,http://id.worldcat.org/fast/1091713
Rivers,http://id.worldcat.org/fast/1098312
Roads,http://id.worldcat.org/fast/1098511
Roads--Interchanges and intersections,http://id.worldcat.org/fast/1098660
Schools,http://id.worldcat.org/fast/1107958
Service stations,http://id.worldcat.org/fast/1113497
Servitudes,http://id.worldcat.org/fast/1113531
Sidewalks,http://id.worldcat.org/fast/1118160
South Africa,http://id.worldcat.org/fast/1204616
South Africa--Cape Town,http://id.worldcat.org/fast/1204844
Squatter settlements,http://id.worldcat.org/fast/1131111
Street addresses,http://id.worldcat.org/fast/1134645
Streets,http://id.worldcat.org/fast/1134794
Subway stations,http://id.worldcat.org/fast/1136966
Subways,http://id.worldcat.org/fast/1136975
Taxation,http://id.worldcat.org/fast/1143876
Tele Atlas B.V.,http://id.worldcat.org/fast/683084
Texas--Houston,http://id.worldcat.org/fast/1205077
Traffic signs and signals,http://id.worldcat.org/fast/1154277
Trails,http://id.worldcat.org/fast/1154418
Transportation,http://id.worldcat.org/fast/1155007
United States,http://id.worldcat.org/fast/1204155
United States. Bureau of the Census,http://id.worldcat.org/fast/580803
United States. Bureau of Transportation Statistics,http://id.worldcat.org/fast/690477
United States. Federal Emergency Management Agency,http://id.worldcat.org/fast/528615
United States. National Imagery and Mapping Agency,http://id.worldcat.org/fast/721814
Villages,http://id.worldcat.org/fast/1166969
Washington (D.C.),http://id.worldcat.org/fast/1204505
Water,http://id.worldcat.org/fast/1171139
Water districts,http://id.worldcat.org/fast/1171690
Wetlands,http://id.worldcat.org/fast/1174194
Zip codes,http://id.worldcat.org/fast/1184508
Zoning,http://id.worldcat.org/fast/1184615
